year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1976    0.8    0.7    0.4    2.7    5.2    8.7   10.4    8.7    7.8    5.3    1.5   -2.0    1.18    2.75    9.25    4.84    4.17
1977   -1.6   -0.9    1.6    1.4    3.6    5.9    9.1    8.4    6.7    6.7    0.9    1.6   -1.55    2.22    7.80    4.78    3.65
1978   -1.7   -3.2    1.2    1.3    4.9    7.3    8.2    9.4    8.3    6.7    3.1    0.5   -1.01    2.48    8.28    6.02    3.87
1979   -4.2   -2.9   -1.0    1.9    3.0    7.6    9.0    8.1    6.8    6.3    1.2    0.5   -2.16    1.28    8.25    4.78    3.06
1980   -1.1    0.6   -0.5    2.7    4.0    7.7    8.6    9.5    8.6    3.6    1.9    1.2   -0.04    2.08    8.64    4.68    3.91
1981   -0.3   -0.6    1.2    1.2    5.3    7.1    9.0    9.3    8.0    1.8    2.5   -4.0    0.13    2.58    8.48    4.05    3.38
1982   -1.7    0.8    0.6    2.8    3.8    7.9    9.4    9.3    7.1    5.3    2.2   -0.6   -1.74    2.42    8.89    4.86    3.92
1983    1.6   -2.2    1.9    0.5    4.4    7.0   10.3   10.0    7.2    4.8    3.0    1.6   -0.36    2.28    9.14    4.99    4.22
1984   -2.5    0.4    0.3    2.0    3.4    8.0    9.5    9.5    7.0    4.8    3.3    1.5   -0.19    1.89    8.98    5.02    3.93
1985   -2.6   -1.4   -0.4    2.3    4.4    6.1    9.4    8.6    7.5    5.5   -1.1    0.8   -0.82    2.12    8.05    3.94    3.29
1986   -1.2   -3.7    0.3    0.2    5.2    7.3    9.0    7.1    5.4    5.4    2.5    0.7   -1.31    1.88    7.81    4.44    3.22
1987   -2.0   -1.2   -0.9    3.3    4.0    6.0    9.6    8.8    6.9    3.4    2.6    1.0   -0.80    2.12    8.16    4.28    3.48
1988    0.1    0.5    0.4    2.3    4.8    8.2    9.2    9.1    7.7    5.0    1.7    3.4    0.53    2.52    8.81    4.78    4.37
1989    3.2    0.7    0.8    1.1    5.0    6.8    9.8    9.2    6.9    5.9    2.0   -1.2    2.50    2.31    8.62    4.96    4.22
1990    1.5    1.5    3.0    2.0    5.1    7.5    9.3   10.2    6.6    6.1    2.0    0.4    0.58    3.40    9.03    4.90    4.63
