year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1942    0.7    0.1    2.7    6.5    8.1   10.5   12.3   13.0   10.4    7.6    4.1    4.7    1.75    5.78   11.97    7.35    6.78
1943    2.5    4.5    5.1    7.3    8.5   11.4   12.6   11.7   10.2    8.8    4.6    3.0    3.90    6.99   11.88    7.89    7.54
1944    4.0    2.4    3.8    7.4    8.2   10.7   13.4   13.6    9.6    7.0    3.2    2.7    3.17    6.43   12.55    6.60    7.17
1945   -1.2    4.5    6.5    6.9    8.6   11.3   13.8   13.2   11.8    9.2    6.0    3.8    1.91    7.35   12.78    9.01    7.89
1946    2.0    3.3    3.8    7.1    8.6   10.6   12.8   11.6   11.2    7.2    5.4    2.1    3.01    6.49   11.67    7.89    7.14
1947    1.5   -2.4    0.1    5.6    9.7   11.7   13.4   15.4   11.1    8.9    4.4    3.3    0.50    5.13   13.51    8.14    6.96
1948    1.6    3.0    6.2    6.5    8.4   10.9   12.8   11.8   10.6    7.4    5.9    4.2    2.61    7.06   11.83    7.99    7.46
1949    3.5    4.0    3.5    7.0    8.5   11.6   13.5   13.2   12.5    9.1    5.1    3.2    3.88    6.33   12.76    8.90    7.91
1950    3.5    1.9    5.4    4.8    8.6   12.3   13.0   12.8    9.9    7.4    3.2   -0.1    2.89    6.28   12.70    6.84    6.92
1951    1.5    1.3    1.9    3.8    7.4   10.5   12.8   11.9   11.1    8.6    6.0    3.5    0.88    4.38   11.74    8.55    6.72
1952   -0.1    2.1    4.3    7.1   10.0   10.3   13.0   12.4    8.4    6.7    2.3    1.9    1.85    7.15   11.91    5.82    6.56
1953    3.4    3.5    4.7    4.5    9.6   11.9   12.5   12.8   11.7    8.6    6.5    4.7    2.92    6.32   12.41    8.91    7.89
1954    2.2    0.9    3.3    5.9    9.0   10.7   11.4   11.8    9.3    8.2    4.4    4.3    2.66    6.06   11.32    7.34    6.83
1955    0.6   -1.0    2.0    7.2    7.1   10.9   14.5   14.6   11.7    6.8    6.1    2.7    1.37    5.43   13.35    8.19    6.98
1956    1.3    0.4    4.3    4.8    9.2   10.3   12.5   10.4   11.3    7.6    5.2    4.6    1.49    6.11   11.05    8.05    6.84
1957    3.5    2.1    6.5    6.6    8.0   11.5   12.7   12.4    9.4    8.2    5.1    3.2    3.42    7.01   12.20    7.58    7.46
1958    1.3    1.5    1.2    5.5    7.4   10.9   12.9   12.7   12.6    8.7    5.2    2.4    2.01    4.68   12.19    8.83    6.88
1959   -0.4    3.0    5.1    6.5   10.0   11.8   13.3   14.0   11.7   10.1    5.5    3.4    1.62    7.21   13.04    9.11    7.86
1960    1.9    0.9    4.2    7.1   10.2   12.8   12.4   12.3   10.4    8.1    4.5    1.7    2.12    7.17   12.50    7.68    7.24
1961    1.6    4.4    6.4    6.7    8.4   10.9   11.7   12.1   11.6    8.3    3.8    0.3    2.51    7.19   11.57    7.94    7.21
1962    2.6    3.0    0.9    5.2    7.8   10.9   11.5   11.2    9.9    8.8    3.9    2.2    1.97    4.65   11.22    7.52    6.52
1963   -1.3   -1.3    4.0    5.9    7.7   11.9   11.9   11.4   10.3    8.4    4.6    2.2   -0.06    5.88   11.75    7.79    6.37
1964    3.5    3.0    3.1    6.5    9.8   10.7   12.4   11.7   10.6    7.1    5.2    1.9    2.90    6.49   11.59    7.62    7.13
1965    1.3    2.3    2.9    5.6    8.5   11.5   10.6   11.7   10.1    8.4    2.3    1.5    1.80    5.66   11.25    6.99    6.42
1966    1.4    1.7    4.6    3.9    8.2   12.2   12.0   11.4   11.4    7.1    3.2    2.6    1.54    5.60   11.88    7.24    6.68
1967    3.0    3.7    4.3    5.7    7.3   11.2   12.5   12.5   11.0    7.3    4.4    3.1    3.05    5.77   12.07    7.56    7.18
1968    2.4    0.0    3.9    5.7    6.7   11.7   11.9   12.4   11.0    9.3    4.2    2.2    1.86    5.43   11.99    8.16    6.79
1969    3.1   -0.7    1.5    4.9    8.0   11.5   13.2   13.7   11.0   10.5    2.1    2.1    1.57    4.80   12.85    7.88    6.80
1970    1.8    0.2    2.1    4.1    9.6   13.1   11.3   13.2   11.0    8.0    4.4    3.1    1.42    5.28   12.52    7.80    6.87
1971    3.2    3.5    3.8    5.8    9.1    9.7   13.0   12.4   11.7    8.8    4.4    5.7    3.30    6.24   11.70    8.32    7.63
1972    2.5    2.4    4.1    6.2    8.4    9.3   12.6   11.7    9.4    8.6    3.9    3.8    3.56    6.23   11.24    7.29    6.93
1973    3.2    2.2    4.6    4.6    8.1   11.5   12.9   12.8   10.8    6.9    3.7    2.7    3.11    5.79   12.42    7.15    7.05
1974    4.2    3.5    3.7    6.4    8.7   10.9   11.7   12.2    9.3    6.0    4.3    5.0    3.46    6.24   11.60    6.52    7.17
1975    3.6    2.9    2.8    5.8    7.2   11.4   13.4   14.8    9.9    8.4    4.5    4.6    3.87    5.24   13.24    7.62    7.47
1976    3.4    3.2    3.2    6.2    8.8   12.6   14.7   13.9   10.6    8.0    4.3    0.2    3.72    6.05   13.73    7.63    7.43
1977    0.9    1.6    4.6    4.7    8.0   10.1   13.2   12.4    9.9    9.5    3.5    4.0    0.90    5.76   11.91    7.68    6.91
1978    1.1   -0.1    4.1    4.5    9.5   11.1   11.7   12.3   11.0    9.4    5.9    2.4    1.69    6.08   11.70    8.75    6.94
1979   -1.1   -0.1    1.8    5.0    6.7   11.5   12.3   11.6   10.3    8.8    4.1    2.8    0.40    4.50   11.79    7.77    6.18
1980    1.1    3.1    2.4    6.7    9.1   11.2   12.0   12.7   11.6    6.4    4.4    3.8    2.30    6.05   11.99    7.45    7.04
1981    2.7    2.1    4.3    5.7    9.3   10.6   12.3   13.1   11.4    4.9    5.1   -1.1    2.87    6.46   12.00    7.14    6.73
1982    1.1    3.5    3.9    6.6    8.5   11.6   13.6   12.7   10.4    8.1    4.8    2.2    1.09    6.30   12.67    7.77    7.27
1983    4.1    0.7    4.6    4.1    7.5   10.7   14.6   14.2   10.1    7.7    5.6    4.3    2.37    5.39   13.21    7.82    7.40
1984    0.3    2.8    3.0    6.4    8.2   11.6   13.8   14.0   10.0    8.0    5.5    4.0    2.43    5.84   13.12    7.85    7.30
1985   -0.1    1.8    2.7    5.7    8.3   10.0   12.6   11.6   10.4    8.6    1.9    3.4    1.91    5.57   11.42    7.00    6.44
1986    1.3   -1.1    3.5    3.7    8.4   11.7   12.3   10.6    9.2    8.2    5.5    3.1    1.27    5.20   11.55    7.64    6.42
1987    0.4    1.9    2.2    7.1    7.8    9.5   12.9   12.3   10.3    6.5    4.8    3.6    1.84    5.70   11.60    7.21    6.65
1988    2.5    2.9    3.5    5.9    9.1   12.3   12.2   12.4   10.8    7.8    4.5    5.8    3.00    6.15   12.29    7.69    7.49
1989    5.7    3.6    4.1    4.5    9.2   11.0   14.4   12.5   10.5    8.7    4.6    1.6    5.08    5.96   12.66    7.96    7.58
1990    4.1    4.0    5.8    5.8    9.6   11.0   13.3   13.5    9.9    8.7    4.4    3.0    3.21    7.09   12.62    7.70    7.80
1991    1.6    1.0    5.1    5.9    9.0    9.6   14.6   13.9   10.9    7.7    4.7    3.8    1.90    6.70   12.73    7.77    7.37
1992    3.2    4.0    4.6    5.9   10.3   12.8   12.6   11.8   10.1    5.3    4.4    2.2    3.65    6.98   12.38    6.61    7.28
1993    3.2    4.7    4.4    6.6    8.3   11.5   11.7   11.4    9.8    5.9    3.2    1.7    3.33    6.44   11.52    6.29    6.87
1994    2.4    1.3    3.8    5.3    7.8   10.8   13.8   12.3    9.9    7.5    7.5    3.8    1.80    5.64   12.33    8.29    7.22
1995    2.0    2.9    2.5    6.0    8.5   11.6   14.3   15.2   10.9    9.9    5.8    0.3    2.92    5.64   13.72    8.86    7.51
1996    3.7    1.4    3.0    6.4    6.7   11.3   12.7   13.7   11.5    9.0    3.1    1.7    1.82    5.36   12.56    7.88    7.03
1997    2.0    3.7    5.9    6.9    8.5   11.0   13.9   15.2   10.9    7.9    6.8    4.2    2.46    7.07   13.40    8.50    8.09
1998    3.2    6.4    4.9    5.0    9.6   10.6   12.3   12.6   11.9    7.0    4.3    4.1    4.53    6.55   11.84    7.72    7.67
1999    3.0    2.8    4.7    7.0    9.6   10.8   13.8   12.9   12.5    8.6    5.7    1.9    3.32    7.08   12.49    8.94    7.80
2000    3.8    3.6    5.4    5.4    9.3   10.8   12.6   13.3   11.8    8.1    4.5    3.2    3.09    6.73   12.27    8.10    7.67
2001    1.3    1.9    2.4    5.4   10.1   10.7   13.0   13.0   10.7   10.6    5.9    2.4    2.14    5.97   12.25    9.09    7.32
2002    4.1    3.5    5.0    7.0    9.5   11.9   12.6   14.0   11.7    6.7    6.1    3.4    3.34    7.14   12.82    8.17    7.98
2003    2.7    2.6    5.6    8.0    9.2   13.0   14.8   14.4   11.4    6.7    6.3    3.2    2.92    7.59   14.05    8.14    8.18
2004    3.3    3.0    4.7    7.4    9.8   12.0   12.7   14.4   11.6    7.6    6.0    4.4    3.17    7.29   13.07    8.41    8.09
